anuncio_data;anuncio_ano;anuncio_mes;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
22/07/2020;2020;7;Patio Villa Branca;Jacareí;RA São José dos Campos;Inauguração Centro de compras, alimentação e lazer;Serviços;Atividades imobiliárias
22/07/2020;2020;7;Artère;São José dos Campos;RA São José dos Campos;Inauguração clínica  médica especializada em cardiologiano Vale Sul Shopping;Serviços;Atividades de atenção à saúde humana
22/07/2020;2020;7;OdontoHi;São José dos Campos;RA São José dos Campos;Inauguração clínica clínica odontológica no Vale Sul Shopping;Serviços;Atividades de atenção à saúde humana
22/07/2020;2020;7;Beepbeep Mobilidade;Campinas;RA Campinas;Inauguração Estação no Aeroporto Internacional de Viracopos delocação de automóveis elétricos sem condutor ;Serviços;Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros
22/07/2020;2020;7;Magia Kids Store;São José do Rio Preto;RA São José do Rio Preto;Inauguração loja de moda infanto-juvenil no Rio Preto Shopping;Comércio;Comércio varejista
22/07/2020;2020;7;Assist Smart;São José do Rio Preto;RA São José do Rio Preto;Inauguração associação técnica de informática no Rio Preto Shopping;Serviços;Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos
22/07/2020;2020;7;Água de Cheiro;São José do Rio Preto;RA São José do Rio Preto;Reforma loja de cosméticos e perfumaria no Rio Preto Shopping;Comércio;Comércio varejista
22/07/2020;2020;7;Havok Store;São José do Rio Preto;RA São José do Rio Preto;Abertura loja de venda de celulares, especializada em produtos da marca Xiaomi;Comércio;Comércio varejista
22/07/2020;2020;7;Unika;São José do Rio Preto;RA São José do Rio Preto;Abertura loja de venda de bolsas, malas e mochilas no Plaza Avenida Shopping no Jardim Redentor;Comércio;Comércio varejista
22/07/2020;2020;7;Kelly Maquiagens;São José do Rio Preto;RA São José do Rio Preto;Abertura loja de maquiagens no Plaza Avenida Shopping;Comércio;Comércio varejista
22/07/2020;2020;7;Iaia Churreria & Creperia;São José do Rio Preto;RA São José do Rio Preto;Abertura loja especializada em churros, cafeteria e crepes no Plaza Avenida Shopping;Serviços;Alimentação
22/07/2020;2020;7;Jeronimo Burger;São José do Rio Preto;RA São José do Rio Preto;Abertura restaurante  franqueado  especializado em hambúrgueres, próximo à rodovia Washington Luís;Serviços;Alimentação
20/07/2020;2020;7;Tereos;Inter-regionais;Inter-regionais;Instalação projeto G.O.T.A Gerenciamento, Otimização e Tratamento de Água que possibilita a diminuição da captação do recurso dos rios e poços e retorno da água à natureza livre de qualquer impureza;Indústria;Fabricação de produtos alimentícios
19/07/2020;2020;7;Stolthaven;Santos;RA Santos;Expansão área de tanques de combustíveis e armazenagem de granéis líquidos do terminal da empresa;Infraestrutura;Armazenamento e atividades auxiliares dos transportes
17/07/2020;2020;7;Cooperativa de Consumo - Coop;Santo André;RM São Paulo;Construção supermercado de mercadorias em geral, unidade na Rua Dom Pedro II;Comércio;Comércio varejista
17/07/2020;2020;7;Cooperativa de Consumo - Coop;Inter-regionais;Inter-regionais;Instalação drogaria com venda de medicamentos e perfumaria, 21 unidades no Estado de São Paulo;Comércio;Comércio varejista
17/07/2020;2020;7;Cooperativa de Consumo - Coop;São Bernardo do Campo;RM São Paulo;Instalação centro de distribuição  - CD para o supermercado com predominância de venda de produtos alimentícios, às margens da Rodovia dos Imigrantes;Comércio;Comércio varejista
